year,firstServe1,firstServe2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2
2012,47,62,78,62,64,46
2012,60,52,85,65,56,48
2012,70,59,85,41,64,33
2012,59,54,80,67,59,39
2012,59,64,87,64,71,53
2012,65,60,85,77,66,55
2012,62,58,81,65,54,37
2012,72,61,82,73,55,45
2012,66,58,80,78,64,67
2012,70,65,80,77,59,49
2012,65,57,84,68,54,48
2012,70,51,74,60,52,49
2012,55,60,85,66,64,56
2012,64,49,77,73,47,50
2012,61,43,81,70,65,43
2012,52,65,78,71,57,56
2012,62,55,73,63,67,35
2012,64,53,84,69,72,40
2012,58,59,81,64,55,59
2012,53,61,79,67,60,48
2012,42,59,79,85,57,47
2012,47,47,75,63,47,43
2012,62,61,68,62,58,55
2012,55,54,77,72,61,51
2012,54,77,75,53,53,58
2012,56,65,74,67,58,36
2012,52,53,75,63,62,49
2012,56,54,74,58,51,47
2012,46,64,76,66,65,57
2012,54,56,86,73,61,46
2012,50,69,77,57,53,67
2012,49,54,79,67,61,55
2012,57,61,65,68,53,38
2012,61,60,75,49,48,38
2012,58,48,80,64,50,44
2012,57,55,89,74,48,37
2012,65,54,90,84,56,76
2012,54,75,87,64,48,61
2012,53,49,80,79,66,52
2012,53,56,75,76,60,47
2012,57,49,76,79,48,42
2012,63,65,63,61,55,38
2012,59,60,72,64,59,46
2012,57,66,84,65,55,44
2012,66,40,67,65,57,35
2012,59,62,82,64,74,38
2012,66,64,90,54,57,45
2012,79,52,76,47,64,21
2012,57,50,80,76,52,53
2012,48,53,73,74,52,54
2012,77,64,72,75,59,60
2012,60,48,70,77,61,45
2012,55,62,72,71,60,46
2012,60,57,75,68,45,53
2012,56,56,87,64,64,45
2012,55,57,79,60,66,44
2012,59,52,87,61,53,50
2012,67,61,87,74,63,41
2012,68,54,79,65,63,41
2012,70,70,83,56,61,46
2012,57,61,78,76,58,47
2012,46,61,69,70,62,28
2012,63,52,72,72,53,43
2012,68,55,88,66,54,46
2012,53,50,79,78,60,46
2012,58,50,86,70,71,42
2012,44,55,88,67,60,61
2012,46,56,79,71,63,51
2012,67,47,72,67,55,32
2012,61,63,78,81,60,57
2012,60,52,80,76,50,56
2012,53,51,71,65,58,48
2012,59,63,80,71,51,45
2012,61,44,90,76,61,50
2012,55,58,79,72,58,43
2012,63,49,85,63,61,38
2012,55,56,77,65,42,43
2012,63,57,83,70,53,46
2011,51,63,73,76,57,35
2011,78,46,69,63,46,51
2011,68,63,73,72,63,46
2011,53,63,83,77,58,40
2011,43,59,76,52,43,52
2011,40,62,78,60,56,44
2011,68,67,78,74,63,50
2011,47,59,69,48,56,38
2011,76,46,75,65,78,41
2011,55,59,78,62,40,41
2011,61,69,78,56,49,42
2011,67,58,72,69,68,57
2011,65,62,81,73,69,49
2011,71,58,73,67,67,39
2011,67,60,70,62,59,53
2011,60,58,78,70,45,50
2011,62,48,85,54,41,34
2011,57,58,77,70,57,41
2011,66,57,68,73,61,42
2011,56,57,78,68,53,47
2011,59,44,67,82,61,34
2011,50,56,74,68,60,50
2011,57,55,68,69,54,46
2011,57,63,83,55,67,33
2011,71,60,75,59,62,51
2011,59,59,62,66,49,43
2011,66,55,74,55,69,48
2011,47,56,72,67,50,46
2011,63,52,77,71,49,44
2011,58,54,76,78,56,47
2011,58,53,85,73,52,59
2011,57,54,82,65,59,49
2011,60,62,87,63,68,39
2011,66,55,80,69,42,43
2011,60,61,80,65,55,35
2011,51,43,81,70,56,36
2011,59,45,91,52,59,34
2011,58,56,69,64,55,45
2011,52,47,87,74,59,47
2011,53,60,82,82,47,45
2011,52,54,88,64,45,55
2011,58,59,77,72,53,51
2011,57,56,76,65,52,48
2011,53,63,78,67,49,59
2011,46,53,75,70,46,48
2011,56,49,63,73,44,45
2011,59,54,61,70,51,41
2011,53,60,87,77,60,45
2011,71,55,77,79,44,51
2011,67,52,87,73,63,62
2011,58,49,77,81,51,47
2011,60,45,80,67,45,44
2011,63,57,76,73,73,50
2011,56,49,68,59,65,39
2011,60,49,73,81,68,49
2011,45,70,91,57,62,41
2011,57,61,64,62,45,37
2011,57,60,74,72,59,60
2011,59,80,81,68,51,25
2011,53,57,79,74,55,38
2011,58,55,77,70,62,56
2011,63,69,67,73,59,52
2011,71,67,85,74,59,53
2011,69,55,85,69,62,62
2011,72,46,76,84,59,58
2011,76,64,81,60,50,43
2011,55,54,67,72,60,53
2011,59,59,59,64,54,48
2011,53,51,80,71,67,45
2011,65,64,62,43,57,50
2011,68,79,72,44,62,63
2011,68,49,89,61,61,36
2011,67,58,73,71,59,37
2011,74,56,68,61,64,32
2011,60,60,70,57,44,24
2011,62,56,70,68,45,44
2011,62,49,71,70,50,43
2011,66,46,77,62,39,37
2011,84,48,79,59,80,37
2011,68,58,83,55,84,37
2011,57,53,82,76,53,36
2011,60,48,75,66,46,46
2011,57,60,80,66,49,38
2011,54,64,71,60,59,61
2011,52,53,75,60,65,47
2011,59,55,86,51,50,44
2011,54,56,72,52,84,27
2011,45,43,67,51,63,53
2011,55,51,87,68,52,42
2011,60,44,79,77,53,54
2011,53,54,77,75,54,50
2011,58,49,75,67,56,51
2011,74,57,71,59,57,43
2011,77,54,69,63,43,46
2011,66,68,65,52,44,42
2011,59,61,83,67,55,56
2011,65,66,65,65,50,22
2011,66,41,75,79,53,42
2011,60,73,75,56,66,45
2011,66,67,68,38,63,23
2011,77,50,87,40,57,13
2011,56,63,75,73,49,51
2011,69,60,73,71,57,46
2011,54,49,80,70,56,46
2011,67,54,72,66,57,46
2011,67,59,84,63,55,32
2011,73,54,81,66,55,33
2011,76,53,69,63,46,40
2011,69,56,82,60,53,37
2011,65,52,66,56,48,41
2011,65,63,76,57,57,47
2011,60,63,61,67,65,40
2011,65,51,82,59,63,44
2011,72,53,77,69,42,40
2011,66,66,85,40,65,48
2011,58,49,75,69,62,51
2011,72,61,88,58,82,54
2011,62,52,72,61,44,34
2011,51,66,77,64,57,55
2011,69,53,84,75,57,51
2011,54,59,79,51,58,60
2011,54,53,77,66,49,49
2011,52,55,92,53,53,46
2011,59,44,85,58,61,51
2011,57,50,78,64,54,48
2011,64,66,74,69,56,29
2011,56,49,81,61,53,29
2010,60,54,74,71,42,50
2010,58,54,87,55,64,41
2010,66,55,75,64,55,41
2010,64,52,74,75,55,47
2010,55,56,86,59,57,52
2010,59,49,90,67,59,38
2010,58,54,78,70,56,26
2010,68,57,80,54,61,44
2010,54,65,71,59,48,55
2010,52,49,76,75,42,51
2010,56,54,77,78,54,43
2010,48,58,73,66,48,49
2010,68,62,83,72,74,35
2010,59,54,82,69,77,54
2010,56,62,75,76,60,44
2010,55,44,84,70,69,46
2010,63,57,81,72,52,43
2010,59,42,72,65,66,40
2010,52,63,84,59,57,49
2010,56,66,76,69,55,51
2010,49,65,79,51,49,41
2010,55,45,69,57,49,41
2010,48,50,87,78,64,47
2010,67,62,77,70,41,47
2010,46,68,85,54,87,33
2010,59,54,78,73,53,51
2010,53,57,89,65,59,71
2010,56,64,70,70,53,48
2010,63,52,79,56,53,49
2010,68,56,78,57,57,40
2010,57,60,74,61,39,43
2010,50,61,75,58,66,43
2010,58,69,82,65,40,42
2010,61,57,69,55,61,53
2010,64,60,77,61,59,49
2010,62,43,80,77,49,49
2010,56,59,77,71,45,48
2010,45,55,88,61,69,43
2010,50,56,80,77,54,46
2010,64,62,75,57,63,47
2010,63,59,80,70,64,70
2010,50,43,79,85,71,44
2010,58,64,71,63,62,53
2010,54,51,80,59,52,54
2010,59,66,81,78,63,54
2010,64,57,81,72,56,51
2010,58,60,84,75,57,50
2010,64,69,84,73,63,63
2010,64,68,92,70,52,45
2010,60,57,66,67,65,44
2010,62,50,84,67,57,23
2010,61,53,83,63,47,50
2010,61,59,78,71,46,49
2010,62,54,80,66,55,42
2010,55,51,72,72,47,43
2010,55,55,72,67,53,56
2010,58,52,76,67,39,53
2010,58,51,77,64,64,44
2010,74,56,82,80,72,59
2010,72,57,77,59,50,46
2010,58,52,76,69,53,50
2010,47,55,79,63,61,57
2010,63,63,74,71,47,51
2010,52,64,84,57,45,33
2010,58,65,85,62,63,35
2010,60,48,75,60,69,42
2010,68,68,83,66,52,55
2010,56,55,85,78,64,64
2010,65,54,68,77,54,43
2010,62,55,74,75,68,56
2010,62,68,73,77,59,38
2010,52,49,70,69,60,43
2010,52,44,76,62,77,47
2010,52,52,78,71,51,57
2010,61,67,77,65,53,57
2010,59,60,72,52,60,51
2010,62,53,68,74,63,46
2010,74,56,69,52,50,42
2010,68,55,79,59,46,47
2010,79,69,69,64,70,54
2010,68,60,77,69,59,50
2010,65,69,67,69,50,42
2010,61,58,80,49,56,50
2010,57,49,77,72,60,49
2010,50,50,74,76,47,40
2010,61,65,76,66,66,44
2010,59,54,75,65,55,43
2010,55,57,86,65,67,30
2010,67,66,73,64,57,46
2010,65,59,78,67,70,39
2010,66,59,84,61,69,56
2010,63,52,90,75,62,42
2010,57,56,91,65,58,51
2010,65,61,83,72,72,50
2010,67,69,78,71,71,49
2010,54,51,68,64,55,49
2010,45,62,72,67,56,46
2010,57,63,79,72,60,40
2010,54,63,87,69,58,38
2010,67,58,78,51,68,64
2010,52,60,85,69,60,42
2010,51,57,81,64,63,36
2010,68,70,83,65,61,40
2010,57,53,77,80,53,46
2010,64,58,86,67,45,51
2010,61,67,77,59,61,56
2010,61,51,85,78,63,43
2010,54,58,80,68,65,39
2010,65,67,83,61,58,43
2010,62,47,66,72,78,48
2010,57,56,85,71,53,54
2010,57,56,83,62,57,49
2010,50,69,88,69,50,43
2010,62,63,72,73,52,36
2010,58,65,80,68,51,52
2010,52,53,77,84,57,52
2010,54,50,77,68,46,43
2010,46,65,89,65,52,41
2010,60,54,88,54,67,49
2010,72,61,70,59,29,36
2010,58,66,75,68,65,40
2010,51,57,79,67,68,48
2010,56,56,85,62,46,55
2010,72,69,78,72,72,51
2010,64,73,67,73,62,56
2010,63,54,84,69,65,37
2010,64,59,66,47,47,42
2009,61,62,68,76,58,47
2009,47,61,91,58,61,41
2009,53,61,75,61,55,45
2009,53,59,84,69,52,38
2009,69,57,77,61,72,54
2009,81,53,80,68,62,33
2009,65,57,82,69,67,68
2009,62,63,74,71,49,43
2009,76,59,64,69,64,51
2009,56,52,62,61,46,39
2009,62,61,70,71,48,45
2009,67,65,73,63,59,66
2009,58,61,81,81,58,45
2009,57,49,82,73,58,60
2009,62,65,84,76,60,60
2009,53,58,74,53,61,42
2009,74,69,78,75,59,53
2009,62,62,71,74,45,51
2009,52,57,82,63,61,28
2009,57,53,85,73,58,44
2009,56,51,73,85,59,44
2009,68,49,80,75,63,48
2009,62,57,77,66,50,45
2009,57,56,84,71,48,31
2009,51,62,79,57,70,50
2009,49,56,72,68,53,39
2009,50,56,75,70,47,39
2009,58,69,67,68,55,44
2009,69,71,81,83,72,45
2009,48,70,79,64,55,53
2009,63,55,70,58,63,49
2009,59,58,71,66,42,45
2009,61,48,67,63,52,50
2009,63,59,78,59,57,38
2009,48,65,75,55,43,46
2009,47,44,76,61,60,33
2009,65,59,84,71,61,53
2009,58,54,92,73,66,59
2009,63,67,88,52,65,24
2009,65,66,80,83,60,63
2009,61,70,82,63,63,64
2009,64,67,82,78,58,52
2009,47,60,76,74,46,38
2009,57,43,87,73,66,48
2009,63,53,72,81,61,44
2009,59,59,69,71,59,50
2009,68,51,67,78,54,41
2009,57,54,75,56,50,41
2009,63,73,86,68,52,32
2009,65,50,73,71,55,56
2009,66,78,79,57,41,30
2009,66,59,82,66,41,37
2009,66,67,81,63,52,50
2009,62,68,81,51,37,44
2009,58,55,88,77,61,47
2009,55,72,81,51,69,43
2009,67,49,75,65,64,33
2009,69,70,72,56,62,53
2009,53,50,84,77,49,55
2009,50,57,71,62,47,41
2009,64,58,69,72,53,43
2009,53,58,79,65,61,38
2009,47,62,81,49,57,44
2009,56,53,75,60,42,46
2009,58,62,74,64,50,57
2009,50,63,62,59,53,43
2009,63,74,84,60,53,44
2009,52,65,79,65,58,52
2009,49,69,79,58,68,46
2009,52,55,75,59,46,42
2009,52,71,79,61,50,42
2009,67,60,71,65,43,50
2009,60,48,67,75,38,39
2009,56,52,84,68,35,37
2009,59,67,67,55,47,52
2009,63,57,77,76,49,46
2009,56,60,80,68,55,39
2009,65,52,69,70,48,42
2009,66,56,67,54,60,54
2009,75,65,80,57,59,38
2009,62,47,67,73,65,41
2009,67,56,71,69,51,48
2009,61,61,76,53,59,45
2009,61,46,70,59,45,53
2009,60,54,83,75,77,49
2009,79,50,83,59,64,44
2009,62,60,76,55,58,35
2009,73,46,84,66,68,57
2009,57,52,79,61,67,40
2009,58,63,69,67,45,46
2009,60,52,70,64,61,44
2009,48,52,80,80,56,52
2009,54,60,78,64,58,44
2009,60,56,78,68,47,57
2009,51,63,77,53,51,51
2009,75,60,85,67,73,51
2009,74,61,73,70,62,36
2009,62,52,62,60,55,35
2009,62,41,73,70,84,42
2009,56,65,94,59,70,46
2009,64,57,74,60,39,38
2009,68,71,85,61,46,22
2009,57,68,84,66,38,50
2009,52,66,88,71,63,36
2009,57,30,100,33,100,43
2009,59,50,87,81,47,30
2009,58,68,78,68,61,54
2009,66,67,86,73,56,45
2009,63,68,87,62,68,40
2009,54,51,74,70,54,56
2009,66,49,72,70,71,53
2009,65,58,82,57,54,38
2009,59,49,80,79,54,51
2009,54,56,81,59,63,63
2009,51,52,81,70,48,52
2009,72,63,70,55,57,51
2009,70,81,78,72,50,50
2009,64,64,81,73,49,53
2009,63,59,76,60,59,53
2009,59,68,84,64,59,60
2009,53,66,79,67,50,39
2009,62,48,86,73,67,50
2009,57,50,70,68,53,43
2009,64,49,79,72,46,52
2009,57,52,72,60,44,49
2009,57,61,85,74,62,45
2009,47,58,67,53,48,65
2008,61,63,100,53,45,28
2008,63,70,82,82,60,43
2008,59,59,68,56,57,49
2008,56,65,69,62,47,43
2008,44,65,81,70,77,33
2008,65,72,79,59,63,55
2008,57,63,72,61,45,53
2008,56,62,82,64,50,33
2008,54,59,83,68,60,44
2008,57,68,75,72,46,51
2008,51,68,79,60,60,43
2008,65,53,93,60,73,51
2008,73,71,85,67,54,50
2008,60,52,79,76,56,48
2008,62,53,89,67,70,40
2008,50,63,73,64,53,52
2008,70,61,91,81,70,43
2008,63,69,86,71,68,55
2008,67,56,76,65,63,57
2008,59,63,75,63,81,41
2008,52,51,87,65,56,36
2008,54,51,90,63,64,44
2008,63,73,77,71,57,41
2008,50,65,85,71,52,47
2008,63,49,77,74,56,46
2008,57,49,81,82,46,47
2008,57,61,79,63,58,42
2008,58,66,76,57,68,60
2008,67,65,80,77,57,57
2008,75,62,72,67,58,48
2008,79,71,72,56,81,57
2008,69,63,67,65,64,46
2008,67,56,63,57,40,57
2008,71,66,73,67,83,45
2008,62,44,72,50,50,55
2008,62,51,74,77,47,36
2008,64,55,85,59,52,49
2008,59,74,85,69,45,64
2008,63,60,82,84,54,62
2008,63,62,77,72,39,60
2008,57,60,81,68,55,40
2008,52,44,71,75,59,32
2008,55,55,73,75,76,43
2008,51,58,68,64,40,35
2008,59,85,95,63,59,46
2008,58,70,87,80,71,43
2008,57,56,77,70,56,52
2008,78,69,90,69,42,67
2008,58,61,89,65,43,44
2008,54,46,81,65,56,43
2008,57,57,74,64,43,42
2008,59,57,65,76,45,49
2008,67,64,63,68,61,50
2008,65,57,76,67,56,36
2008,70,68,70,63,67,54
2008,60,47,80,75,55,50
2008,72,55,78,70,52,56
2008,58,52,81,73,54,41
2008,66,44,83,73,52,42
2008,57,56,72,54,54,51
2008,63,50,76,73,57,51
2008,57,58,74,59,53,54
2008,64,47,73,59,47,45
2008,71,56,86,49,50,38
2008,61,56,69,76,54,50
2008,63,57,64,61,51,57
2008,58,54,82,64,54,32
2008,52,73,77,56,46,55
2008,54,56,77,69,49,54
2008,47,70,80,60,55,38
2008,57,56,84,68,45,50
2008,60,48,85,65,53,67
2008,47,54,78,68,53,57
2008,61,62,71,68,60,46
2008,57,67,73,63,44,44
2008,56,55,75,70,67,56
2008,64,75,82,61,56,52
2008,61,56,81,79,61,45
2008,61,58,75,56,42,35
2008,66,60,73,64,63,46
2008,68,41,75,81,56,49
2008,59,63,68,60,70,39
2008,64,69,72,70,69,47
2008,65,67,75,66,53,51
2008,68,50,72,80,57,40
2008,71,57,72,81,71,47
2008,62,57,81,65,63,56
2008,56,54,73,81,69,47
2008,47,57,84,63,71,42
2008,69,63,85,77,61,48
2008,68,69,89,55,48,59
2008,73,48,74,74,68,47
2008,66,58,72,76,49,38
2008,63,68,68,64,68,25
2008,70,58,81,60,60,39
2008,73,49,74,74,66,46
2008,57,51,75,73,66,47
2008,59,59,82,81,68,52
2008,59,56,79,51,45,47
2008,64,65,76,71,60,45
2008,61,62,86,77,65,57
2008,67,61,76,78,56,49
2008,71,67,74,62,68,32
2008,64,54,80,60,56,53
2008,74,65,73,55,55,35
2008,68,75,74,62,57,49
2008,69,52,75,74,55,43
2008,52,58,74,68,56,61
2008,66,66,86,79,54,50
2008,58,66,76,72,56,51
2008,62,53,88,53,48,45
2008,70,63,86,59,67,20
2008,51,68,72,58,48,45
2008,56,65,80,75,50,41
2008,65,65,76,70,53,53
2008,54,50,74,67,55,52
2008,61,57,69,69,42,41
2008,53,61,71,59,46,47
2008,59,54,69,71,68,60
2008,83,62,72,64,81,40
2008,69,52,74,72,58,50
2008,62,52,78,59,61,49
2008,71,57,74,70,68,57
2008,65,57,71,63,57,48
2008,60,57,87,67,60,37
2008,63,55,69,74,48,40
2008,61,65,62,68,50,38
2007,60,50,74,74,55,46
2007,58,59,78,72,51,38
2007,66,52,83,75,46,50
2007,51,44,78,50,53,41
2007,53,60,71,60,48,41
2007,77,61,88,71,50,59
2007,66,51,85,74,67,39
2007,68,63,82,60,62,36
2007,69,50,76,71,54,36
2007,55,67,76,71,57,43
2007,70,39,76,64,58,48
2007,62,56,72,66,56,43
2007,62,67,67,74,59,51
2007,64,71,83,67,70,55
2007,73,55,84,61,55,42
2007,61,57,67,67,55,48
2007,66,69,69,65,62,44
2007,66,64,77,59,67,60
2007,56,53,91,82,56,48
2007,53,55,82,71,65,38
2007,61,64,85,71,50,39
2007,64,71,75,55,50,46
2007,59,63,83,69,59,55
2007,68,72,80,44,67,62
2007,64,74,85,59,69,47
2007,56,55,85,63,56,53
2007,62,62,81,72,44,52
2007,61,75,35,36,49,63
2007,55,53,80,78,62,45
2007,51,48,77,64,62,38
2007,56,51,79,69,54,46
2007,64,47,73,77,53,40
2007,64,52,73,61,48,52
2007,61,54,74,69,56,42
2007,58,60,83,64,61,44
2007,66,59,72,71,56,46
2007,49,62,71,67,47,44
2007,51,65,66,63,43,31
2007,69,67,85,60,76,43
2007,71,68,80,71,49,50
2007,62,67,80,79,61,60
2007,68,64,72,61,73,57
2007,58,56,81,75,64,43
2007,58,55,80,76,57,43
2007,62,54,84,72,59,36
2007,53,61,81,63,58,40
2007,57,58,73,78,51,39
2007,54,47,68,68,46,51
2007,61,55,80,57,54,39
2007,59,69,76,52,52,33
2007,60,61,74,68,50,30
2007,70,67,73,58,63,56
2007,73,60,78,75,44,48
2007,64,54,95,61,68,49
2007,70,69,80,75,61,44
2007,54,58,81,69,57,53
2007,51,63,86,56,62,36
2007,55,36,82,80,47,57
2007,61,61,72,62,51,40
2007,58,70,76,65,53,53
2007,53,42,67,45,56,30
2007,65,51,86,82,70,53
2007,54,60,86,63,65,47
2007,67,55,78,54,57,40
2007,81,51,79,62,67,38
2007,75,59,71,62,52,38
2007,65,65,76,59,67,46
2007,72,62,71,63,39,28
2007,58,64,87,60,61,31
2007,54,60,79,80,64,49
2007,74,70,79,50,53,52
2007,56,60,79,66,46,48
2007,69,56,79,69,62,40
2007,65,73,68,61,63,38
2007,59,67,63,56,52,47
2007,56,50,79,56,59,49
2007,50,59,76,69,55,45
2007,47,59,79,78,45,54
2007,66,57,80,65,63,57
2007,63,70,65,60,58,43
2007,67,57,67,72,84,28
2007,74,71,81,65,68,50
2007,52,58,88,60,54,38
2007,57,63,87,55,47,23
2007,62,65,79,48,44,41
2007,79,55,78,59,58,30
2007,60,67,89,69,66,41
2007,63,61,76,65,74,39
2007,64,72,81,69,71,44
2007,73,56,81,77,87,42
2007,61,71,81,77,72,50
2007,55,67,66,54,47,32
2007,60,53,78,71,64,56
2007,43,57,100,52,75,36
2007,59,51,89,75,53,49
2007,59,66,82,67,57,39
2007,47,53,78,69,44,46
2007,51,54,81,69,73,39
2007,56,61,81,67,47,57
2007,60,61,83,66,68,38
2007,58,62,83,71,41,51
2007,50,55,71,68,65,52
2007,64,52,84,75,51,58
2007,64,49,71,72,49,49
2007,56,43,87,71,67,45
2007,57,75,90,68,80,43
2007,54,63,85,66,57,49
2007,59,61,84,83,65,57
2007,63,48,74,71,51,47
2007,57,53,82,76,52,43
2007,62,54,66,71,52,46
2007,70,61,73,67,65,59
2007,75,52,69,78,61,57
2007,61,60,73,67,55,47
2007,57,72,70,76,60,44
2006,57,68,80,69,45,46
2006,64,55,69,74,55,43
2006,50,53,67,65,46,36
2006,57,52,82,47,68,29
2006,58,69,77,72,52,40
2006,70,67,79,55,57,30
2006,77,63,92,77,68,55
2006,67,78,75,70,58,55
2006,76,49,87,74,65,41
2006,72,49,81,77,56,53
2006,68,67,80,69,62,35
2006,62,44,83,68,55,43
2006,49,59,71,67,59,54
2006,49,59,77,59,61,48
2006,56,67,83,74,64,64
2006,60,53,74,69,66,39
2006,57,59,73,74,59,40
2006,71,60,93,67,53,51
2006,67,42,72,62,65,58
2006,75,63,79,63,57,57
2006,57,67,71,59,49,61
2006,63,54,77,66,67,46
2006,53,74,69,56,60,48
2006,66,63,82,66,61,50
2006,61,64,75,73,57,43
2006,60,65,75,61,55,43
2006,67,52,69,83,48,43
2006,66,56,77,72,56,53
2006,60,61,81,63,45,51
2006,54,57,86,73,62,46
2006,58,55,75,69,65,42
2006,45,79,74,46,55,43
2006,51,66,81,58,66,36
2006,52,67,64,69,55,46
2006,60,66,83,66,58,43
2006,53,60,75,73,52,50
2006,55,67,83,63,67,41
2006,54,72,83,66,61,56
2006,60,61,77,59,40,45
2006,54,63,90,81,71,50
2006,49,48,83,70,45,44
2006,52,58,81,38,69,36
2006,66,63,73,67,66,49
2006,50,56,86,76,55,49
2006,73,53,70,58,75,41
2006,67,47,70,65,40,40
2006,77,63,65,72,59,46
2006,68,51,74,55,55,47
2006,63,49,76,82,60,63
2006,66,62,83,46,67,40
2006,61,61,82,85,54,55
2006,58,55,87,94,70,26
